road,work,department,budget,date,status
Anna Salai (Mount Road),Road Restoration,Bus Route Roads Department,1.93 Crore,26-02-2026,Ongoing
Cathedral Road,Storm Water Drain Improvement,Greater Chennai Corporation,2.70 Crore,19-02-2026,Completed
RK Mutt Road,Road Relaying Work,Bus Route Roads Department,1.45 Crore,26-02-2026,Ongoing
Sardar Patel Road,Road Improvement Work,Greater Chennai Corporation,3.10 Crore,19-02-2026,Ongoing
Velachery Bypass Road,Road Strengthening,Bus Route Roads Department,2.25 Crore,26-02-2026,Completed
Perungudi MRTS Road,Pedestrian Plaza Development,Special Projects Department,14.44 Crore,15-04-2026,Ongoing
Jambulingam Main Road,Infrastructure Facilities Development,Buildings Department,1.63 Crore,23-02-2026,Ongoing
VV Koil Street,UPHC Construction Work,Buildings Department,1.38 Crore,23-02-2026,Ongoing
Raja Krishna Road,Road Maintenance Work,Greater Chennai Corporation,1.20 Crore,15-03-2026,Ongoing
CV Raman Road,Drain Improvement Work,Greater Chennai Corporation,0.95 Crore,20-03-2026,Ongoing
College Road,Road Restoration,Bus Route Roads Department,1.80 Crore,25-03-2026,Completed
TTK Road,Road Relaying Work,Greater Chennai Corporation,1.65 Crore,12-03-2026,Ongoing
Rajaji Salai,Pedestrian Infrastructure Upgrade,Special Projects Department,2.30 Crore,18-03-2026,Ongoing
